"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"01 Stockholms län,""0-4 år"",""män"",54286,46197,54077,54318,70619,75178"
"01 Stockholms län,""0-4 år"",""kvinnor"",51731,44031,51723,51688,66717,71535"
"01 Stockholms län,""5-14 år"",""män"",96482,102304,90709,117656,115444,151815"
"01 Stockholms län,""5-14 år"",""kvinnor"",91719,97726,86110,112090,109970,142570"
"01 Stockholms län,""15-24 år"",""män"",111757,104192,110604,99814,127707,133125"
"01 Stockholms län,""15-24 år"",""kvinnor"",114610,104835,112551,99861,124321,124159"
"01 Stockholms län,""25-34 år"",""män"",116541,130876,131460,149740,147624,189362"
"01 Stockholms län,""25-34 år"",""kvinnor"",109089,129178,129854,151158,147260,186667"
"01 Stockholms län,""35-44 år"",""män"",86546,108141,128776,137238,159898,174816"
"01 Stockholms län,""35-44 år"",""kvinnor"",85318,102125,126921,131598,155915,165909"
"01 Stockholms län,""45-54 år"",""män"",96023,79801,103471,124133,134107,164087"
"01 Stockholms län,""45-54 år"",""kvinnor"",100779,81934,100469,124805,130427,160381"
"01 Stockholms län,""55-64 år"",""män"",78609,83655,71163,94718,114212,129691"
"01 Stockholms län,""55-64 år"",""kvinnor"",92131,93136,77435,95813,118248,128411"
"01 Stockholms län,""65-74 år"",""män"",44397,56810,62826,55886,77661,98501"
"01 Stockholms län,""65-74 år"",""kvinnor"",63528,78417,80482,68542,84502,107498"
"01 Stockholms län,""75-84 år"",""män"",17915,22219,31105,38230,36751,57827"
"01 Stockholms län,""75-84 år"",""kvinnor"",32886,43100,56790,60888,52990,69720"
"01 Stockholms län,""85-94 år"",""män"",2847,3895,5423,9004,13111,14555"
"01 Stockholms län,""85-94 år"",""kvinnor"",6275,11041,16555,24127,28287,26549"
"01 Stockholms län,""95+ år"",""män"",87,119,186,318,598,1059"
"01 Stockholms län,""95+ år"",""kvinnor"",198,534,941,1752,2813,3666"
"03 Uppsala län,""0-4 år"",""män"",9080,8085,9622,8360,10269,11702"
"03 Uppsala län,""0-4 år"",""kvinnor"",8504,7751,9049,7793,9591,11074"
"03 Uppsala län,""5-14 år"",""män"",15014,18286,16362,20855,18680,23383"
"03 Uppsala län,""5-14 år"",""kvinnor"",14230,17364,15967,19846,17506,22306"
"03 Uppsala län,""15-24 år"",""män"",16656,16555,19300,18731,25025,24781"
"03 Uppsala län,""15-24 år"",""kvinnor"",17274,16670,18955,19664,24938,23887"
"03 Uppsala län,""25-34 år"",""män"",16520,21715,20055,22165,22053,30504"
"03 Uppsala län,""25-34 år"",""kvinnor"",15508,21346,19782,21638,21423,29094"
"03 Uppsala län,""35-44 år"",""män"",11783,16254,21373,19932,22767,23808"
"03 Uppsala län,""35-44 år"",""kvinnor"",11353,15232,21139,19944,22430,22858"
"03 Uppsala län,""45-54 år"",""män"",12292,11614,15915,20861,20805,23838"
"03 Uppsala län,""45-54 år"",""kvinnor"",12590,11547,15138,20892,20870,23509"
"03 Uppsala län,""55-64 år"",""män"",11492,11688,10972,15168,20987,20748"
"03 Uppsala län,""55-64 år"",""kvinnor"",11830,12462,11364,14751,21291,20925"
"03 Uppsala län,""65-74 år"",""män"",8470,9666,9871,9544,14425,19130"
"03 Uppsala län,""65-74 år"",""kvinnor"",9811,10877,11702,10764,14710,20036"
